gem,repo,categoria,downloads,versao,licenca
i18n,ruby-i18n/i18n,internationalization,1414735742,1.15.2,MIT
activesupport,rails/rails/tree/master/activesupport,core extensions,1411697643,8.1.3.1,MIT
rake,ruby/rake,cli builder,1394335059,13.4.2,MIT
concurrent-ruby,ruby-concurrency/concurrent-ruby,concurrency and parallelism,1349821682,1.3.8,MIT
tzinfo,tzinfo/tzinfo,date and time processing,1301765700,2.0.6,MIT
minitest,minitest/minitest,testing,1280590561,6.0.6,MIT
addressable,sporkmonger/addressable,core extensions,1247619954,2.9.0,Apache-2.0
faraday,lostisland/faraday,http clients and tools,1240624040,2.14.3,MIT
rspec,rspec/rspec,testing,1010694666,3.13.2,MIT
activerecord,rails/rails/tree/master/activerecord,orm/odm,826882185,8.1.3.1,MIT
parallel,grosser/parallel,concurrency and parallelism,811017572,2.1.0,MIT
jwt,jwt/ruby-jwt,authentication and oauth,801035362,3.2.0,MIT
tilt,rtomayko/tilt,template engine,784602449,2.9.0,MIT
mail,mikel/mail,email,754348248,2.9.1,MIT
rubocop,rubocop/rubocop,code formatting,734109297,1.89.0,MIT
connection_pool,mperham/connection_pool,database tools,713375926,3.0.2,MIT
excon,excon/excon,http clients and tools,699236311,1.7.0,MIT
zeitwerk,fxn/zeitwerk,code loaders,686924150,2.8.3,MIT
coderay,rubychan/coderay,code highlighting,633231201,1.1.3,MIT
pry,pry/pry,irb,626830788,0.16.0,MIT
sprockets,rails/sprockets,assets,616460643,4.4.0,MIT
puma,puma/puma,web servers,595456154,8.0.2,BSD-3-Clause
dotenv,bkeepers/dotenv,configuration,537810196,3.2.0,MIT
httpclient,nahi/httpclient,http clients and tools,530055838,2.9.0,ruby
rack-protection,sinatra/sinatra/tree/master/rack-protection,security,511863723,4.2.1,MIT
docile,ms-ati/docile,core extensions,496224247,1.4.1,MIT
simplecov,simplecov-ruby/simplecov,code analysis and metrics,493478573,1.1.1,MIT
rest-client,rest-client/rest-client,http clients and tools,481301859,2.1.0,MIT
hashie,hashie/hashie,core extensions,478813919,5.1.0,MIT
httparty,jnunemaker/httparty,http clients and tools,476197556,0.24.2,MIT
byebug,deivid-rodriguez/byebug,debugging tools,474975783,13.0.0,BSD-2-Clause
pg,ged/ruby-pg,database drivers,464811681,1.6.3,BSD-2-Clause
webmock,bblimke/webmock,testing,417169993,3.26.3,MIT
terminal-table,tj/terminal-table,cli utilities,412061036,4.0.0,MIT
sawyer,lostisland/sawyer,http clients and tools,396575044,0.9.3,MIT
listen,guard/listen,file system listener,396160770,3.10.0,MIT
knapsack,KnapsackPro/knapsack,testing,379403511,4.0.0,MIT
bootsnap,rails/bootsnap,optimizations,369113025,1.25.0,MIT
capybara,teamcapybara/capybara,testing,354508673,3.40.0,MIT
selenium-webdriver,SeleniumHQ/selenium/tree/master/rb,testing,353486833,4.47.0,Apache-2.0
factory_bot,thoughtbot/factory_bot,testing,348950562,6.6.0,MIT
faker,faker-ruby/faker,testing,338196843,3.8.0,MIT
rdoc,ruby/rdoc,documentation,336215384,8.0.0,Ruby
responders,heartcombo/responders,decorators,330764169,3.2.0,MIT
eventmachine,eventmachine/eventmachine,concurrency and parallelism,329350191,1.2.7,Ruby
rubocop-performance,rubocop/rubocop-performance,code formatting,320832667,1.27.0,MIT
rouge,rouge-ruby/rouge,code highlighting,319431294,5.1.0,MIT
jbuilder,rails/jbuilder,api builder and discovery,308690344,2.15.1,MIT
childprocess,enkessler/childprocess,processes,306195003,5.1.0,MIT
warden,wardencommunity/warden,authentication and oauth,303048143,1.2.9,MIT
rubocop-rails,rubocop/rubocop-rails,code formatting,300940650,2.37.0,MIT
devise,heartcombo/devise,authentication and oauth,292260224,5.0.4,MIT
rubocop-rspec,rubocop/rubocop-rspec,code formatting,290373233,3.10.2,MIT
typhoeus,typhoeus/typhoeus,http clients and tools,285385617,1.6.0,MIT
awesome_print,awesome-print/awesome_print,cli utilities,285429768,1.9.2,MIT
pry-byebug,deivid-rodriguez/pry-byebug,debugging tools,284630879,3.12.0,MIT
formatador,geemus/formatador,cli utilities,280423105,1.2.3,MIT
oauth2,ruby-oauth/oauth2,authentication and oauth,273268515,2.0.25,MIT
rack-cors,cyu/rack-cors,http clients and tools,271106816,3.0.0,MIT
shoulda-matchers,thoughtbot/shoulda-matchers,testing,269834446,8.0.1,MIT
timecop,travisjeffery/timecop,testing,269720320,0.9.11,MIT
kaminari,amatsuda/kaminari,pagination,269011361,1.2.2,MIT
spring,rails/spring,testing,257087795,4.7.0,MIT
kramdown,gettalong/kramdown,markdown processors,249220330,2.5.2,MIT
mysql2,brianmario/mysql2,database drivers,240330345,0.5.7,MIT
brakeman,presidentbeef/brakeman,code analysis and metrics,229904356,8.0.6,Brakeman Public Use License
pry-rails,pry/pry-rails,debugging tools,227280241,0.3.11,MIT
omniauth,omniauth/omniauth,authentication and oauth,221315479,2.1.4,MIT
dry-types,dry-rb/dry-types,type signatures and type checking,217044239,1.9.1,MIT
database_cleaner,DatabaseCleaner/database_cleaner,database tools,216491366,2.1.0,MIT
http,httprb/http,http clients and tools,211433521,6.0.4,MIT
fastlane,fastlane/fastlane,mobile development,209048100,2.238.0,MIT
thin,macournoyer/thin,web servers,208143875,2.0.1,GPL-2.0-or-later
fastimage,sdsykes/fastimage,image processing,207630493,2.4.1,MIT
haml,haml/haml,template engine,204105063,7.4.1,MIT
lograge,roidrage/lograge,logging,197796392,0.15.0,MIT
state_machines,state-machines/state_machines,state machines,182767878,0.202.0,MIT
bullet,flyerhzm/bullet,profiler and optimization,181992446,8.1.3,MIT
colorize,fazibear/colorize,cli utilities,166414232,1.1.0,GPL-2.0
activerecord-import,zdennis/activerecord-import,orm/odm extensions,164592026,2.3.0,MIT
parallel_tests,grosser/parallel_tests,testing,164480606,5.7.0,MIT
vcr,vcr/vcr,testing,163045134,6.4.0,Hippocratic-2.1
autoprefixer-rails,ai/autoprefixer-rails,assets,163088557,10.4.21.0,MIT
slop,leejarvis/slop,cli builder,157208738,4.10.1,MIT
stackprof,tmm1/stackprof,profiler and optimization,155164978,0.2.28,MIT
guard,guard/guard,file system listener,153565722,2.20.2,MIT
rack-attack,rack/rack-attack,security,149697111,6.8.0,MIT
sentry-ruby,getsentry/sentry-ruby,error handling,147642201,6.7.0,MIT
commander,commander-rb/commander,cli builder,145780280,6.0.0,MIT
paper_trail,paper-trail-gem/paper_trail,orm/odm extensions,145088904,17.0.0,MIT
bundler-audit,rubysec/bundler-audit,security,141424751,0.9.3,GPL-3.0-or-later
carrierwave,carrierwaveuploader/carrierwave,file upload,140822776,3.1.3,MIT
rufus-scheduler,jmettraux/rufus-scheduler,scheduling,140906570,3.9.2,MIT
slack-notifier,slack-notifier/slack-notifier,third-party apis,139375911,2.4.0,MIT
rails-i18n,svenfuchs/rails-i18n,internationalization,138935860,8.1.0,MIT
cocoapods,CocoaPods/CocoaPods,package management,138280576,1.17.0,MIT
jaro_winkler,tonytonyjan/jaro_winkler,scientific,137585942,1.7.0,MIT
liquid,Shopify/liquid,template engine,136972272,5.13.0,MIT
active_model_serializers,rails-api/active_model_serializers,api builder and discovery,136400821,0.10.16,MIT
chronic,mojombo/chronic,date and time processing,133756594,0.10.2,MIT
optimist,ManageIQ/optimist,cli builder,133459811,3.2.1,MIT
twilio-ruby,twilio/twilio-ruby,third-party apis,132628798,7.10.7,MIT
redcarpet,vmg/redcarpet,markdown processors,132119358,3.6.1,MIT
money,RubyMoney/money,money,131851309,7.1.1,MIT
foreman,ddollar/foreman,process management and monitoring,131722054,0.90.0,MIT
countries,countries/countries,country data,130185866,8.1.0,MIT
virtus,solnic/virtus,core extensions,130014058,2.0.0,MIT
dalli,petergoldstein/dalli,caching,128463547,5.1.0,MIT
rqrcode,whomwah/rqrcode,qr,127041201,3.2.0,MIT
danger,danger/danger,automation,124233518,9.6.1,MIT
